CPA602,330,07:17:48,VHHH,167
HKE849,350,19:06:22,VHHH,209.8
CRK609,350,19:14:32,VHHH,209.8
THA606,365,19:23:19,VHHH,167
CPA495,330,14:14:33,VHHH,209.8
CPA509,330,11:58:51,VHHH,209.8
DAL39,330,19:33:58,VHHH,76.2
AIQ524,350,19:12:06,VHHH,167
CPA451,330,20:28:41,VHHH,192.8
CPA561,330,21:38:26,VHHH,209.8
CPA523,330,15:02:11,VHHH,192.8
CPA234,330,06:10:53,VHHH,76.2
HDA811,330,16:27:08,VHHH,131.2
CPA676,340,04:10:39,VHHH,76.2
CAL935,340,17:46:03,VHHH,192.8
CRK253,330,12:46:25,VHHH,192.8
CCA111,330,12:40:40,VHHH,76.2
HVN594,350,13:31:16,VHHH,222.7
BAW27,330,16:33:58,VHHH,76.2
HKE615,350,07:00:56,VHHH,209.8
CRK774,330,06:51:06,VHHH,167
CPA932,330,07:50:19,VHHH,230.1
CCA105,340,16:26:41,VHHH,191.1
HKE135,350,10:04:34,VHHH,178.6
CPA405,330,18:49:51,VHHH,209.8
CRK081,330,16:22:12,VHHH,209.8
CPA252,330,06:33:05,VHHH,76.2
HDA761,350,17:01:32,VHHH,76.2
HKE397,350,19:34:23,VHHH,209.8
HKE639,350,20:15:28,VHHH,209.8
CPA811D,330,14:40:48,VHHH,76.2
HKE619,350,14:58:32,VHHH,192.8
CPA250,330,13:30:46,VHHH,76.2
MDA1817,340,13:43:32,VHHH,192.8
EVA871,330,17:42:02,VHHH,192.8
HKE1647,350,22:28:46,VHHH,192.8
ANA821,360,03:58:54,VHHH,192.8
HDA749,330,18:52:10,VHHH,76.2
CPA475,330,12:02:02,VHHH,209.8
CPA595,330,20:26:34,VHHH,192.8
ANA859,350,12:03:32,VHHH,209.8
HDA663,330,22:26:31,VHHH,131.2
HDA325,350,15:20:54,VHHH,192.8
CAL7863,340,14:39:41,VHHH,209.8
CPA610,330,07:44:19,VHHH,167
HDA251,350,04:40:15,VHHH,167
HDA275,350,21:29:28,VHHH,167
CPA417,330,12:20:52,VHHH,209.8
HDA111,330,05:55:55,VHHH,167
HKE687,350,17:06:58,VHHH,192.8
CCA117,340,20:51:26,VHHH,76.2
HDA903,330,22:49:33,VHHH,76.2
HDA391,350,12:21:12,VHHH,192.8
UAE380,340,20:30:46,VHHH,76.2
AIC310,350,06:00:07,VHHH,76.2
HVN598,350,21:01:14,VHHH,222.7
CRK607,350,11:56:20,VHHH,209.8
HKE674,350,16:43:13,VHHH,192.8
EVA867,350,11:22:00,VHHH,192.8
CPA292,340,05:35:34,VHHH,76.2
