HKE1647,22:28:46,23:03:53
ANA821,03:58:54,04:47:23
HDA749,18:52:10,19:07:49
CPA475,12:02:02,12:54:58
CPA595,20:26:34,21:12:53
ANA859,12:03:32,13:00:49
HDA663,22:26:31,22:49:46
HDA325,15:20:54,15:57:24
CAL7863,14:39:41,15:31:55
CPA610,07:44:19,08:05:15
HDA251,04:40:15,05:03:32
HDA275,21:29:28,21:55:01
CPA417,12:20:52,13:14:20
HDA111,05:55:55,06:17:36
HKE687,17:06:58,17:45:31
CCA117,20:51:26,21:11:41
HDA903,22:49:33,23:00:22
HDA391,12:21:12,13:14:46
UAE380,20:30:46,20:53:01
AIC310,06:00:07,06:08:48
HVN598,21:01:14,21:41:06
CRK607,11:56:20,12:45:22
HKE674,16:43:13,17:23:40
EVA867,11:22:00,11:59:45
CPA292,05:35:34,05:47:58
THY70,16:15:33,16:29:22
HDA227,12:07:09,12:46:40
JJA2101,12:23:12,13:21:44
ANA875,12:25:33,13:18:07
HDA901,15:59:09,16:13:39
CRK657,16:52:09,17:38:58
CRK217,16:35:38,17:14:57
EVA855,15:41:12,16:19:03
FIN99,14:36:17,14:59:30
HDA455,19:27:09,20:11:18
JNA113,11:44:43,12:20:40
CCA103,12:25:59,12:42:12
ESR931,11:20:12,11:55:23
CRK343,17:24:16,17:42:08
DLH730,15:51:09,16:05:09
HKE1013,17:36:06,18:08:06
CPA543,13:52:28,14:46:56
CCA109,16:17:18,16:32:48
CSZ9095,15:44:10,15:56:03
CPA238,12:45:52,13:07:19
HKE2805,21:05:45,21:57:12
SAA286,07:21:19,07:43:50
HKE1845,22:43:25,23:17:12
CPA382,05:47:21,05:54:24
QTR818,14:25:49,14:50:23
HKE183,15:38:39,16:15:57
CPA696,06:42:28,06:49:41
CRK170,14:55:00,15:30:16
ETH673,23:25:42,23:58:00
VNL303,13:45:24,14:34:47
CPA401,20:39:21,21:31:14
CPA807,19:39:14,19:49:45
HDA441,13:42:04,14:35:22
AIQ515,08:48:43,09:15:17
CRK611,12:32:32,13:27:55
CPA347,13:15:26,13:46:09
CES595,15:36:10,16:06:23
CPA539,19:38:45,20:27:40
CRK613,02:08:21,02:44:27
CPA885,18:32:43,19:10:50
HKE871,20:57:41,21:48:24
CPA859,14:25:41,15:19:31
AIC317,15:45:21,16:27:15
HDA615,21:56:18,22:31:27
CRK697,18:55:41,19:32:53
MDA1831,19:04:11,19:39:43
FIN101,08:02:16,08:10:28
KAL601,16:06:25,16:50:52
HDA209,21:31:04,22:07:45
HDA213,15:57:29,16:25:23
CAL919,17:59:21,18:44:49
CCA419,16:49:21,17:05:24
CPA918,19:16:27,20:02:42
UBA8027,12:48:27,13:24:59
HDA619,14:22:47,15:10:37
HDA734,21:43:41,22:23:46
HDA249,13:28:55,14:16:22
CSH845,17:15:22,17:43:29
CPA597,11:46:52,12:32:09
JCC691,17:19:08,17:53:05
HDA233,21:10:03,21:50:18
CPA750,14:45:26,15:21:09
CPA507,20:04:22,20:48:16
CPA521,20:16:45,21:03:16
CPA533,12:03:02,12:53:47
CPA469,11:33:47,12:08:45
HDA853,14:14:15,14:41:57
